Animal,runno,Day,Acq Number,genotype,sex,age,age_group,Pool time,Pool Distance,NW Time,NW Distance,NE Time,NE Distance,SE Time,SE Distance,SW Time,SW Distance,NormSWTime,NormSWDist,Average Pool Speed,Average SW Speed
170206_10,N54824,Day5,3,0,M,367,old,6.1,3.867,0,0,0.8,0.655,0.2,0.492,5,2.72,0.8196721311,0.703387639,0.6339344262,0.544
170206_11,N54825,Day5,3,0,M,367,old,5.6,1.868,0,0,0,0,0,0,5.6,1.868,1,1,0.3335714286,0.3335714286
170206_12,N54826,Day5,3,0,M,367,old,3.2,0.262,0,0,0,0,0,0,3.2,0.262,1,1,0.081875,0.081875
170227_1,N54859,Day5,3,0,F,120,young,13.9,15.043,1.2,1.999,0.8,1.442,1.1,1.409,10.9,10.193,0.7841726619,0.6775909061,1.0822302158,0.9351376147
170227_2,N54860,Day5,3,0,F,120,young,,0,0,0,0,0,0,0,0,0,,,,
170227_3,N54861,Day5,3,0,F,120,young,2,0.164,0,0,0,0,0,0,2,0.164,1,1,0.082,0.082
170227_4,N54873,Day5,3,0,F,120,young,3.3,0.229,0,0,0,0,0,0,3.3,0.229,1,1,0.0693939394,0.0693939394
170227_5,N54874,Day5,3,0,F,120,young,20.8,32.905,3.9,7.931,0,0,8.6,16.977,8.3,7.997,0.3990384615,0.2430329737,1.5819711538,0.9634939759
170227_6,N54875,Day5,3,0,M,120,young,15.9,10.75,0,0,0,0,0,0,15.9,10.75,1,1,0.6761006289,0.6761006289
170227_7,N54876,Day5,3,0,M,120,young,20.2,15.633,5.3,6.03,0,0,0,0,14.9,9.603,0.7376237624,0.6142774899,0.7739108911,0.6444966443
170227_8,N54877,Day5,3,0,M,120,young,14.6,22.45,1.2,2.753,0,0,2,3.638,11.4,16.059,0.7808219178,0.7153229399,1.5376712329,1.4086842105
170227_9,N54879,Day5,3,0,M,120,young,3.2,0,0,0,0,0,0,0,3.2,0,1,,0,0
170227_10,N54880,Day5,3,0,M,120,young,5.3,2.753,0,0,0,0,0,0,5.3,2.753,1,1,0.5194339623,0.5194339623
170313_1,N54837,Day5,3,0,F,380,old,10.6,9.439,0,0,0,0,0.1,0,10.5,9.439,0.9905660377,1,0.8904716981,0.898952381
170313_2,N54838,Day5,3,0,F,380,old,15.1,13.962,2.6,4.752,1.2,1.737,0.5,0.983,10.9,6.489,0.7218543046,0.4647614955,0.9246357616,0.5953211009
170313_3,N54843,Day5,3,0,M,380,old,30.5,31.562,6.5,11.405,0,0,3.5,2.687,20.5,17.469,0.6721311475,0.5534820354,1.0348196721,0.8521463415
170313_4,N54844,Day5,3,0,M,380,old,4,1.082,0,0,0,0,0,0,4,1.082,1,1,0.2705,0.2705
170313_5,N54856,Day5,3,0,M,380,old,12.3,0.459,0,0,0,0,0,0,12.3,0.459,1,1,0.0373170732,0.0373170732
170313_6,N54857,Day5,3,0,M,380,old,5.1,2.786,0,0,0,0,0,0,5.1,2.786,1,1,0.5462745098,0.5462745098
170313_7,N54858,Day5,3,0,M,380,old,3.2,0,0,0,0,0,0,0,3.2,0,1,,0,0
170501_3,N54891/N54900LRspecific,Day5,3,0,M,381,old,10.2,7.473,4.5,4.687,0,0,0,0,5.7,2.786,0.5588235294,0.3728087783,0.7326470588,0.4887719298
170501_4,N54892,Day5,3,0,F,381,old,28.5,51.947,4.3,10.226,3.4,7.899,5.5,13.175,15.2,20.648,0.5333333333,0.397482049,1.8227017544,1.3584210526
170501_5,N54893,Day5,3,0,M,381,old,9.3,5.506,0,0,0,0,0,0,9.3,5.506,1,1,0.5920430108,0.5920430108
170501_6,N54897,Day5,3,0,M,381,old,6.2,4.261,0,0,0,0,0,0,6.2,4.261,1,1,0.6872580645,0.6872580645
170501_7,N54898,Day5,3,0,F,381,old,9.2,9.472,3.6,6.391,0,0,0,0,5.6,3.081,0.6086956522,0.3252744932,1.0295652174,0.5501785714
170501_8,N54899,Day5,3,0,F,381,old,17.5,19.665,2.9,3.605,0,0,5.8,8.226,8.8,7.833,0.5028571429,0.3983218917,1.1237142857,0.8901136364
161107_1,N54716/N54915,Day5,4,4,F,383,old,27,28.612,15.1,13.339,3.8,6.194,0.7,1.18,7.4,7.899,0.2740740741,0.2760729764,1.0597037037,1.0674324324
161107_2,N54714/N54916,Day5,4,4,F,383,old,33.5,35.101,9.5,12.585,5.5,5.113,0.3,0.361,18.2,17.043,0.5432835821,0.4855417225,1.0477910448,0.9364285714
161107_3,N54717,Day5,4,4,F,383,old,18.9,17.829,3.5,3.179,0,0,0,0,15.4,14.65,0.8148148148,0.8216949913,0.9433333333,0.9512987013
161107_4,N54715/N54917,Day5,4,4,M,379,old,19,14.224,10,6.391,0,0,0,0,9,7.833,0.4736842105,0.5506889764,0.7486315789,0.8703333333
161107_5,N54718//N54721,Day5,4,4,M,379,old,12.1,11.569,0,0,0,0,4,6.194,8.1,5.375,0.6694214876,0.4646036823,0.9561157025,0.6635802469
161107_6,N54719,Day5,4,4,M,379,old,28.1,25.236,0,0,10.7,7.571,9.2,10.455,8.3,7.21,0.2953736655,0.285702964,0.8980782918,0.8686746988
161107_7,N54720,Day5,4,4,M,379,old,20.7,11.963,1.1,1.704,0,0,3.6,2.294,16.1,7.964,0.7777777778,0.6657193012,0.5779227053,0.4946583851
161107_8,N54722,Day5,4,4,M,379,old,19.3,15.043,10.4,8.194,0,0,0,0,9,6.85,0.4663212435,0.4553612976,0.7794300518,0.7611111111
170123_1,N54760/N54754/N54755,Day5,4,0,F,400,old,16.4,9.767,1.9,1.245,0,0,0,0,14.5,8.521,0.8841463415,0.8724275622,0.5955487805,0.5876551724
170123_2,N54757/N54759,Day5,4,0,F,400,old,7.7,6.489,3,4.457,0,0,0,0,4.7,2.032,0.6103896104,0.3131453229,0.8427272727,0.4323404255
170123_3,N54765,Day5,4,0,F,400,old,17.3,16.092,2.7,4.49,0,0,0,0,14.6,11.602,0.8439306358,0.7209793686,0.9301734104,0.7946575342
170123_4,N54766,Day5,4,4,M,396,old,14.1,8.456,6.7,5.178,0,0,0,0,7.3,3.277,0.5177304965,0.3875354778,0.5997163121,0.4489041096
170123_5,N54770,Day5,4,4,M,396,old,5.9,5.539,1.1,2.065,0,0,0,0,4.8,3.474,0.813559322,0.6271890233,0.9388135593,0.72375
170123_6,N54761,Day5,4,4,F,396,old,51.6,55.454,12.5,11.078,0,0,17.6,20.156,21.6,24.22,0.4186046512,0.4367583943,1.0746899225,1.1212962963
170123_7,N54762,Day5,4,4,F,396,old,7.7,7.767,3.4,5.703,0,0,0,0,4.3,2.065,0.5584415584,0.2658684177,1.0087012987,0.4802325581
170123_8,N54763,Day5,4,4,F,396,old,14.9,14.585,4.9,6.457,0,0,0,0,10,8.128,0.6711409396,0.5572848817,0.9788590604,0.8128
170123_9,N54764,Day5,4,4,F,396,old,25,24.745,8.9,11.831,0,0,0,0,16.1,12.913,0.644,0.5218427965,0.9898,0.8020496894
170123_10,N54771,Day5,4,3,F,388,old,13.9,15.895,0.8,1.999,0,0,2.2,3.179,10.8,10.717,0.7769784173,0.6742371815,1.1435251799,0.9923148148
170123_11,N54772,Day5,4,3,F,388,old,60,94.75,12.3,20.746,11,22.09,11.8,19.533,24.8,32.381,0.4133333333,0.3417519789,1.5791666667,1.3056854839
170123_12,,Day5,4,3,F,388,old,14.5,9.406,5.2,4.293,0,0,0,0,9.3,5.113,0.6413793103,0.5435891984,0.6486896552,0.5497849462
