Test,Animal,Treatment,Sex,APOE,Code,Stage,age,Trial,Apparatus,Object1 : head entries,Object1 : head time,Object1_Day2_3_5: RI,Object1 : latency to first entry,Object1 : time mobile,Object1 : time immobile,Object1 : in zone oriented to centre,Object1 : time freezing,Object2 : head entries,Object2 : head time,Object2_Day2_3_5.RI,Object2 : latency to first entry,Object2 : time mobile,Object2 : time immobile,Object2 : in zone oriented to centre,Object2 : time freezing,Outerzone : head entries,Outerzone : head time,Outerzone : distance,Outerzone : latency to first entry,Outerzone : average speed,Outerzone : time mobile,Outerzone : time immobile,Total_Time_Mobile,Outerzone : time freezing,Centerzone : head entries,Centerzone : head time,Centerzone : distance,Centerzone : latency to first entry,Centerzone : average speed,Centerzone : time mobile,Centerzone : time immobile,Centerzone : time freezing,Object 3 : head entries,Object 3 : head time,Object 3 : latency to first entry,Object 3 : in zone oriented to centre,Object 4 : head entries,Object4.headtime,Object 4 : latency to first entry,Object 4 : in zone oriented to centre,Object1Center : head time oriented towards,Object2Center : head time oriented towards,Total_Distance_Mobile,Total Time Freezing
4,200331_3,APOE22F,F,APOE2/2,A,openfield,old,1,2Objects_NOR_2,,,,,,,,,,,,,,,,,93,281.9,9.322,2.1,0.036,169,93.2,237.6,69.4,56,140.8,6.149,0,0.048,68.6,59.1,25.2,,,,,,,,,,,15.471,94.6
5,200331_6,APOE22F,F,APOE2/2,A,openfield,old,1,2Objects_NOR_2,,,,,,,,,,,,,,,,,108,367.4,8.94,23,0.026,205.2,138.5,271.1,93.9,62,84.8,4.931,0,0.07,65.9,4.8,4.8,,,,,,,,,,,13.871,98.7
6,200331_5,APOE22F,F,APOE2/2,A,openfield,old,1,2Objects_NOR,,,,,,,,,,,,,,,,,76,380.1,9.329,12,0.026,201.1,161.5,241.1,77.3,36,105.6,3.521,0,0.037,40,55.2,24,,,,,,,,,90,83.5,12.85,101.3
7,200331_8,APOE22F,F,APOE2/2,A,openfield,old,1,2Objects_NOR,,,,,,,,,,,,,,,,,93,280.5,8.51,8.4,0.036,189.6,47.6,299.5,20.2,81,171.3,8.977,0,0.057,109.9,46.4,17.3,,,,,,,,,84.6,75.3,17.487,37.5
8,200331_7,APOE22F,F,APOE2/2,A,openfield,old,1,2Objects_NOR_2,,,,,,,,,,,,,,,,,106,312.1,8.242,7.2,0.029,168.7,116.3,203.3,91.9,40,83.2,2.921,0,0.043,34.6,33.4,15.2,,,,,,,,,,,11.163,107.1
9,200331_10,APOE22F,F,APOE2/2,A,openfield,old,1,2Objects_NOR_2,,,,,,,,,,,,,,,,,104,323.9,4.074,9,0.017,132.3,108.1,232.4,31.2,68,117.2,7.529,0,0.055,100.1,37.6,12,,,,,,,,,,,11.603,43.2
10,200331_9,APOE22F,F,APOE2/2,A,openfield,old,1,2Objects_NOR,,,,,,,,,,,,,,,,,93,388.4,12.223,3,0.038,245,80,303.6,20.5,56,74.7,5.626,0,0.087,58.6,6.3,6.4,,,,,,,,,63.7,56.7,17.849,26.9
11,200331_12,APOE22M,M,APOE2/2,B,openfield,old,1,2Objects_NOR,,,,,,,,,,,,,,,,,97,363.9,9.217,0,0.03,171.6,132.9,203,58.3,47,66.9,2.966,3.5,0.078,31.4,6.7,4,,,,,,,,,87.6,92.2,12.183,62.3
12,200331_11,APOE22M,M,APOE2/2,B,openfield,old,1,2Objects_NOR_2,,,,,,,,,,,,,,,,,94,315.7,7.436,0.3,0.021,154.1,193.8,201.2,85.7,45,103.6,4.502,6.2,0.062,47.1,25.1,9.5,,,,,,,,,,,11.938,95.2
13,200331_13,APOE22M,M,APOE2/2,B,openfield,old,1,2Objects_NOR,,,,,,,,,,,,,,,,,102,359.1,8.629,4.4,0.028,217.3,95.9,289.1,45.8,55,96.2,5.631,0,0.064,71.8,16.6,7.3,,,,,,,,,54.2,57.9,14.26,53.1
