Test,Animal,Treatment,Sex,APOE,Code,Stage,age,Trial,Apparatus,Object1 : head entries,Object1 : head time,Object1_Day2_3_5: RI,Object1 : latency to first entry,Object1 : time mobile,Object1 : time immobile,Object1 : in zone oriented to centre,Object1 : time freezing,Object2 : head entries,Object2 : head time,Object2_Day2_3_5.RI,Object2 : latency to first entry,Object2 : time mobile,Object2 : time immobile,Object2 : in zone oriented to centre,Object2 : time freezing,Outerzone : head entries,Outerzone : head time,Outerzone : distance,Outerzone : latency to first entry,Outerzone : average speed,Outerzone : time mobile,Outerzone : time immobile,Total_Time_Mobile,Outerzone : time freezing,Centerzone : head entries,Centerzone : head time,Centerzone : distance,Centerzone : latency to first entry,Centerzone : average speed,Centerzone : time mobile,Centerzone : time immobile,Centerzone : time freezing,Object 3 : head entries,Object 3 : head time,Object 3 : latency to first entry,Object 3 : in zone oriented to centre,Object 4 : head entries,Object4.headtime,Object 4 : latency to first entry,Object 4 : in zone oriented to centre,Object1Center : head time oriented towards,Object2Center : head time oriented towards,Total_Distance_Mobile,Total Time Freezing
68,200331_5,APOE22F,F,APOE2/2,A,Dilutions,old,3,2Objects_NOR,3,3.9,0.214285714,0.2,3.9,0,2.9,0,4,14.3,0.785714286,43.2,8.1,6.2,6.7,1.3,10,90.5,2.917,3.1,0.031,52.2,40.8,54.8,28,10,13,0.151,0,0.059,2.6,0,0,2,2.8,,0,1,0.3,,0,24.4,18.7,3.068,28
69,200331_6,APOE22F,F,APOE2/2,A,Dilutions,old,3,2Objects_NOR_2,0,0,,,0,0,0,0,0,0,,,0,0,0,0,6,108.6,1.343,1.4,0.012,14.6,101.7,15.7,82.1,1,0.6,0.054,0,0.05,1.1,0,0,7,2.4,,0,1,0.4,,0,,,1.397,82.1
70,200331_8,APOE22F,F,APOE2/2,A,Dilutions,old,3,2Objects_NOR,1,0.3,0.025862069,7.8,0.3,0,0.3,0,5,11.3,0.974137931,5.6,8.1,3.2,4.4,0,7,61.6,2.428,1.7,0.03,30.3,51.5,42.7,35,9,21.1,0.97,3.2,0.052,12.4,6.2,0,0,0,4.4,0,7,13.6,3.8,0.6,29.1,19.9,3.398,35
71,200331_7,APOE22F,F,APOE2/2,A,Dilutions,old,3,2Objects_NOR_2,4,10.2,0.703448276,33.5,9.2,1,3.6,0,1,4.3,0.296551724,83.6,1.9,2.4,0.6,0,28,72.9,1.608,1.9,0.023,32.2,38.7,36.8,28.3,8,14.6,0.303,0,0.043,4.6,2.4,0,3,3.7,,0,6,9.4,1.2,0,,,1.911,28.3
72,200331_10,APOE22F,F,APOE2/2,A,Dilutions,old,3,2Objects_NOR_2,3,4.9,0.39516129,23.9,0.7,4.2,3.3,1.6,5,7.5,0.60483871,0.5,6.1,1.3,2.9,0,10,87.1,2.591,8.8,0.03,47.6,38.2,57.6,27.7,6,16.8,0.348,0,0.024,10,4.4,1.6,4,4.8,,0,1,3.2,5.4,0,,,2.939,29.3
73,200331_9,APOE22F,F,APOE2/2,A,Dilutions,old,3,2Objects_NOR,2,10.5,0.555555556,49.7,5.8,4.8,0.8,3.1,4,8.4,0.444444444,31.1,8.4,0,2.7,0,15,54.3,1.738,0.5,0.029,38.1,21.6,51.7,15.9,12,30.6,0.788,44.4,0.033,13.6,10.2,1.1,6,10,47.7,1.5,6,9.4,72.9,0,24.2,23.8,2.526,17
74,200331_11,APOE22M,M,APOE2/2,B,Dilutions,old,3,2Objects_NOR_2,3,2.5,0.675675676,4.5,2.5,0,0.8,0,2,1.2,0.324324324,3.6,1.2,0,1.2,0,17,91.2,2.079,0,0.022,39.7,54.5,48.2,47.8,5,14.4,0.511,1.3,0.045,8.5,2.9,0,5,7.3,113.6,0,2,0.7,,0,,,2.59,47.8
75,200331_12,APOE22M,M,APOE2/2,B,Dilutions,old,3,2Objects_NOR,2,2.5,0.423728814,27.2,2.5,0,0.8,0,4,3.4,0.576271186,4.8,3.4,0,0.9,0,15,85.7,1.137,0,0.014,31.1,49.9,36.1,37.3,7,7.2,0.393,4.2,0.078,5,0,0,2,1,,0,3,4.6,55.5,0,13.1,7.5,1.53,37.3
76,200331_13,APOE22M,M,APOE2/2,B,Dilutions,old,3,2Objects_NOR,0,0,0,,0,0,0,0,1,0.9,1,1.6,0.9,0,0.5,0,12,101.1,3.687,4.3,0.037,70.5,28.9,73.8,18.2,2,3.7,0.173,0,0.052,3.3,0,0,3,3.1,,0,2,2.3,,0,8.9,5.9,3.86,18.2
85,200331_1,APOE22F,F,APOE2/2,A,Dilutions,old,4,2Objects_NOR,2,1.9,0.612903226,51.6,0.1,1.8,1.1,0,1,1.2,0.387096774,54.7,1.2,0,0,0,8,99.6,1.84,0,0.019,21.4,75.8,28.6,63.1,3,8.2,0.986,47.6,0.1,7.2,2.6,0,4,5.3,109.4,0,2,1.5,,0,5.5,5.2,2.826,63.1
86,200331_2,APOE22F,F,APOE2/2,A,Dilutions,old,4,2Objects_NOR_2,1,0.2,0.5,56.9,0.2,0,0.2,0,1,0.2,0.5,59.2,0.2,0,0.1,0,9,103.2,4.205,0,0.037,51.4,63.5,54.2,40.1,1,2.8,0.35,56.9,0.124,2.8,0,0,0,0,,0,1,0.8,,0,,,4.555,40.1
87,200331_4,APOE22F,F,APOE2/2,A,Dilutions,old,4,2Objects_NOR,1,1.3,0.481481482,86.8,1.3,0,1.3,0,3,1.4,0.518518519,0.1,1.4,0,0,0,8,99.5,4.865,0.4,0.049,36.2,63.4,53.9,50.2,7,14.1,1.792,0,0.101,17.7,0,0,3,3.7,89.5,0.3,2,1.1,1,0,18.1,22.9,6.657,50.2
88,200331_3,APOE22F,F,APOE2/2,A,Dilutions,old,4,2Objects_NOR_2,2,5.3,0.779411765,17.1,3.1,2.2,4.7,0,3,1.5,0.220588235,49.1,1.5,0,0.7,0,15,83,2.199,1.4,0.026,32.4,52.4,36.1,37.1,4,9.1,0.238,0,0.065,3.7,0,0,2,2.4,,0,3,5.7,43.1,1,,,2.437,37.1
89,200331_5,APOE22F,F,APOE2/2,A,Dilutions,old,4,2Objects_NOR,2,7.5,0.641025641,2.3,4.1,3.5,1.9,2.9,1,4.2,0.358974359,87.4,4.2,0,0.7,0,12,82.7,2.765,0.8,0.033,49.9,34.3,50.9,24.4,13,12.1,0,0,0,1,0,0,3,4.9,,0,4,8.9,94.2,0,17.5,20.4,2.765,24.4
90,200331_6,APOE22F,F,APOE2/2,A,Dilutions,old,4,2Objects_NOR_2,4,6.5,0.747126437,75.7,3.2,3.3,3.2,0,1,2.2,0.252873563,86.4,2.2,0,0.9,0,4,98.3,2.141,3.2,0.022,37.6,61.2,45.5,66.3,3,14.5,0.591,0,0.039,7.9,7.4,0,4,2.5,,0,1,1.5,,0,,,2.732,66.3
91,200331_8,APOE22F,F,APOE2/2,A,Dilutions,old,4,2Objects_NOR,4,14.1,0.979166667,3.6,7.8,6.2,6.3,3.5,1,0.3,0.020833333,31.7,0.3,0,0,0,20,65.7,1.474,7,0.019,22.8,55.3,27.7,38,5,13.2,0.335,0,0.069,4.9,0,0,4,6.4,79,0,0,0,,0,18.3,20,1.809,38
92,200331_7,APOE22F,F,APOE2/2,A,Dilutions,old,4,2Objects_NOR_2,4,8.7,0.480662983,1.3,6.5,2.2,2.9,1.2,10,9.4,0.519337017,3.6,7.5,1.9,2.3,1.3,11,62.3,2.655,5.4,0.037,40.5,30.3,48.3,17.5,7,12.1,0.434,0,0.055,7.8,0,0,3,3.4,,0,2,4.6,112.7,0,,,3.089,17.5
93,200331_10,APOE22F,F,APOE2/2,A,Dilutions,old,4,2Objects_NOR_2,4,8,0.733944954,17.2,5.2,2.9,1.2,0,2,2.9,0.266055046,27.6,2.9,0,1,0,14,69.8,1.622,1.5,0.024,29.3,37.5,40.4,25,11,24.3,0.451,0,0.023,11.1,8.8,0,6,19,12.9,0,3,1.6,,0,,,2.073,25
94,200331_9,APOE22F,F,APOE2/2,A,Dilutions,old,4,2Objects_NOR,5,22.5,0.63559322,13,0.7,21.8,20.3,12.5,6,12.9,0.36440678,17.3,7.5,5.4,2.5,0,15,52.5,2.66,0.8,0.055,29.6,18.6,40.5,11.5,12,44.4,1.203,0,0.033,10.9,25.9,13.9,5,7.6,43.1,0,2,1,,0,10.5,12.6,3.863,25.4
95,200331_12,APOE22M,M,APOE2/2,B,Dilutions,old,4,2Objects_NOR,2,1.9,1,0.3,1.9,0,0.7,0,0,0,0,,0,0,0,0,14,99.2,2.368,2.3,0.025,46.6,47.9,47.6,32.4,2,1.7,0.059,0,0.058,1,0,0,2,4.1,,0,1,1.7,,0,17.8,23,2.427,32.4
96,200331_11,APOE22M,M,APOE2/2,B,Dilutions,old,4,2Objects_NOR_2,7,5.5,0.859375,8.1,5.5,0,1.9,0,2,0.9,0.140625,0,0.9,0,0.3,0,21,80.4,2.421,4.3,0.029,43.2,41.6,53.3,24.8,7,13.3,0.543,0,0.054,10.1,0,0,8,5.7,86.1,0,2,1.7,,0,,,2.964,24.8
97,200331_13,APOE22M,M,APOE2/2,B,Dilutions,old,4,2Objects_NOR,6,7.2,0.510638298,0,2.7,4.5,3.7,1.5,3,6.9,0.489361702,56.2,2.5,4.4,3.3,0,15,77.6,2.519,8.8,0.033,41.8,35.4,51.4,24.5,6,13.6,0.278,0,0.029,9.6,0,0,5,3.3,,0,4,2.7,55.4,0,14.7,23.1,2.797,24.5
106,200331_1,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,1,2Objects_NOR,2,3.5,0.625,22.8,1.5,2,0.9,0,2,2.1,0.375,51.5,2.1,0,1,0,9,88.9,4.507,1.9,0.051,71,17.5,73.2,16,5,6.8,0.336,0,0.052,2.2,4.2,3.6,4,1.7,0.8,0,4,2.7,80.9,0.2,9.4,11,4.843,19.6
107,200331_2,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,1,2Objects_NOR_2,4,3.6,0.36,9.4,3.6,0,1.2,0,6,6.4,0.64,1.5,6.4,0,2.6,0,16,85.5,2.942,3.3,0.031,54,41.6,60.7,28.8,9,9.8,0.536,0.9,0.08,6.7,0,0,5,3.8,79.4,0,1,0.8,0.8,0,,,3.478,28.8
108,200331_3,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,1,2Objects_NOR,2,6.8,0.571428571,43.9,4.2,2.5,4.9,0,6,5.1,0.428571429,20.4,2,3.1,1.4,0,17,79.6,3.182,2.2,0.039,45.7,35.3,54.8,27.2,15,13.7,0.69,0,0.043,9.1,7.1,0,3,3.3,91.9,0,3,1.5,35.6,0,6.7,7.4,3.872,27.2
109,200331_4,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,1,2Objects_NOR_2,2,1.6,0.228571429,6.7,1.6,0,1.4,0,4,5.4,0.771428571,14.8,3.3,2.1,5,0,9,107.8,2.687,0,0.024,47.8,65.3,47.8,37.7,3,1.6,0,,,0,0,0,0,0,,0,1,0.2,74.7,0,,,2.687,37.7
110,200331_5,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,1,2Objects_NOR,7,13.8,0.770949721,0,10.6,3.2,5.5,0,2,4.1,0.229050279,8.3,4.1,0,1,0,15,87.5,3.664,0.7,0.042,62.6,25,67.8,20,10,12.1,0.319,0,0.038,5.2,3.2,0,1,0.5,86.8,0,2,1.2,74.4,0,11.5,9.5,3.983,20
111,200331_6,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,1,2Objects_NOR_2,6,8.4,0.563758389,19.2,8.4,0,3.6,0,5,6.5,0.436241611,47.1,6.5,0,4.8,0,13,92.7,3.164,0.8,0.033,61.1,35.5,64.8,36.2,12,7.2,0.351,0,0.096,3.7,0,0,2,0.8,0,0,0,0,,0,,,3.515,36.2
112,200331_7,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,1,2Objects_NOR,2,2.2,0.314285714,17,2.2,0,1.7,0,2,4.8,0.685714286,21.7,2.2,2.5,0.4,2,15,91.7,2.809,0.9,0.03,51.3,41,52,28.5,2,1.7,0.039,0,0.06,0.7,0,0,2,0.9,20.8,0,0,0,,0,12,12.4,2.848,28.5
113,200331_8,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,1,2Objects_NOR_2,3,6,0.582524272,0.3,3.6,2.4,1.6,0,2,4.3,0.417475728,6.2,4.3,0,2.1,0,8,95.8,2.69,3,0.028,63.4,33.9,70.2,35.5,7,10.9,0.618,0,0.067,6.8,2.4,0,1,0.6,32.5,0,4,2.4,1.9,0,,,3.308,35.5
114,200331_9,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,1,2Objects_NOR,6,7.4,0.385416667,16.9,1.7,5.7,2.3,0,5,11.8,0.614583333,7.1,11.8,0,3.3,0,13,85,3.059,0.7,0.034,56.9,32.8,64.2,23.8,7,14.2,0.516,0,0.053,7.3,2.5,0,2,0.8,28.5,0,2,1.6,0,0,8.8,6.7,3.575,23.8
115,200331_10,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,1,2Objects_NOR_2,2,2.4,0.220183486,76.3,0.5,1.9,1.8,0,4,8.5,0.779816514,66.3,3.2,5.3,0.1,2.4,11,89,3.516,0,0.038,37.5,54,40.8,25.4,5,9.5,0.463,74.3,0.053,3.3,5.4,3.1,1,0.5,74.3,0,3,1.1,1.6,0,,,3.979,28.5
116,200331_11,APOE22M,M,APOE2/2,B,Day2_IdenticalObject,old,1,2Objects_NOR,2,1,0.357142857,56.9,1,0,0,0,1,1.8,0.642857143,51.5,1.8,0,0.9,0,21,62.9,1.335,0,0.015,31.6,55.8,36.1,38.2,2,4.8,0.393,56.2,0.088,4.5,0,1,1,0.4,15.2,0,1,0.3,66.9,0,7.3,10.5,1.728,39.2
117,200331_12,APOE22M,M,APOE2/2,B,Day2_IdenticalObject,old,1,2Objects_NOR_2,7,9,0.671641791,3,9,0,1.7,0,4,4.4,0.328358209,1.9,4.4,0,2.1,0,23,76,2.424,0,0.027,38.2,50.6,45.9,38.8,10,8.9,0.839,2.6,0.109,7.7,0,0,4,2.6,6.7,0,3,1.4,2.7,0,,,3.263,38.8
119,200331_13,APOE22M,M,APOE2/2,B,Day2_IdenticalObject,old,1,2Objects_NOR,6,8.1,0.72972973,4.2,8.1,0,3.6,0,4,3,0.27027027,29.9,3,0,0.6,0,16,94.8,5.015,0.9,0.055,56.4,35.2,60.7,19.7,12,7.7,0.48,0,0.112,4.3,0,0,1,0.4,,0,3,0.9,77.4,0,5.4,6,5.495,19.7
127,200331_2,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,2,2Objects_NOR_2,1,0.7,0.368421053,55.9,0.7,0,0.7,0,2,1.2,0.631578947,30.4,1.2,0,1.2,0,10,111.3,3.489,2.1,0.031,65.7,46.2,67.4,54.2,2,1.5,0.113,0,0.069,1.7,0,0,3,1,1.2,0,0,0,,0,,,3.602,54.2
128,200331_1,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,2,2Objects_NOR,0,0,0,,0,0,0,0,7,8.9,1,42.3,8.9,0,1.4,0,18,81.8,1.724,0,0.021,35.5,47.8,45.6,28,5,8.6,0.47,97.9,0.047,10.1,0,0,1,0.6,96.9,0,1,0.6,103.4,0,20.1,18.2,2.194,28
129,200331_4,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,2,2Objects_NOR_2,2,3.2,1,75.3,3.2,0,1.9,0,0,0,0,,0,0,0,0,11,92.6,2.649,0,0.024,47.6,64.6,48,45.1,2,3,0.04,49.6,0.115,0.4,0,0,0,0,,0,1,1.8,49.3,0,,,2.689,45.1
130,200331_3,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,2,2Objects_NOR,6,8,0.536912752,2.5,4.9,3.1,4.2,2.7,5,6.9,0.463087248,63.9,3.5,3.5,4.1,0,19,73.6,1.998,0.8,0.029,43.3,25.5,55.9,12.1,7,12.5,0.824,0,0.051,12.6,3.5,0,1,1.9,1.7,0,2,3,117.1,0,6.9,8.8,2.822,12.1
131,200331_6,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,2,2Objects_NOR_2,4,3.6,0.302521008,7.6,3.6,0,0.6,0,3,8.3,0.697478992,99.9,8.3,0,0.9,0,12,77.3,1.35,0,0.016,21.7,62.4,37,61.6,8,15.8,0.958,2.2,0.062,15.3,0,0,0,0,2.3,0,3,2.3,10.5,0,,,2.308,61.6
132,200331_5,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,2,2Objects_NOR,7,10.6,0.519607843,2.4,8.3,2.3,4.5,1.8,8,9.8,0.480392157,0.3,9.8,0,2.7,0,16,74.4,2.272,6.2,0.03,48.4,27.3,56.8,34.4,8,15.5,0.461,0,0.055,8.4,0,0,2,0.8,1.4,0,4,3.1,32.2,0,14.6,15,2.733,34.4
133,200331_8,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,2,2Objects_NOR_2,1,4.5,0.714285714,49.8,2,2.5,0.7,0,4,1.8,0.285714286,2.2,1.8,0,1.2,0,8,102.5,1.641,0,0.016,32.2,71.9,36,49.7,5,5.7,0.23,2.2,0.06,3.8,0,0,1,0.3,,0,1,0.7,17.9,0,,,1.871,49.7
134,200331_7,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,2,2Objects_NOR,2,5.4,0.915254237,13.9,5.4,0,2.6,1.2,1,0.5,0.084745763,26.5,0.5,0,0.4,0,18,76.2,1.617,12,0.022,30.2,42.9,37.9,28.9,5,11,0.057,0,0.007,7.7,0,0,0,0,,0,1,0.3,,0,21.9,12.8,1.674,28.9
135,200331_9,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,2,2Objects_NOR,4,11.3,1,45.8,8.4,2.9,3.1,0,0,0,0,,0,0,0,0,23,79.5,2.078,0,0.023,36.6,53.4,38.8,47.5,9,6.1,0.408,1.1,0.185,2.2,0,0,1,0.2,2.3,0,0,0,1.1,0,35.8,15.5,2.486,47.5
136,200331_10,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,2,2Objects_NOR_2,2,1.1,1,7.7,0.2,0.9,0.3,0,0,0,0,,0,0,0,0,3,108.3,1.564,0,0.014,24.4,87.7,26.6,90.5,1,5.3,0.279,6.6,0.047,2.2,3.7,0,1,0.6,12.2,0,0,0,,0,,,1.843,90.5
137,200331_11,APOE22M,M,APOE2/2,B,Day2_IdenticalObject,old,2,2Objects_NOR,1,0.2,0.333333333,112.4,0.2,0,0,0,1,0.4,0.666666667,1.3,0.4,0,0.3,0,15,97,3.802,0,0.036,28.2,78,32.3,51.2,2,3.2,0.792,53.2,0.195,4.1,0,0,0,0,53.6,0,1,0.6,54.7,0,10.3,12.7,4.594,51.2
138,200331_12,APOE22M,M,APOE2/2,B,Day2_IdenticalObject,old,2,2Objects_NOR_2,2,0.8,0.258064516,43.9,0.8,0,0.6,0,3,2.3,0.741935484,55.6,2.3,0,0.8,0,20,89.3,2.604,0.2,0.028,17.2,77.3,26.9,77.6,7,6.2,0.894,42.5,0.076,9.7,2.1,0,1,0.6,110.9,0,3,1.5,47.3,0.1,,,3.498,77.6
139,200331_13,APOE22M,M,APOE2/2,B,Day2_IdenticalObject,old,2,2Objects_NOR,10,10.5,1,40.9,5.6,4.9,3.6,2.5,0,0,0,,0,0,0,0,19,84.8,2.528,0.3,0.032,39.2,39.4,45.6,30.8,7,6.2,0.391,81.9,0.061,6.4,0,0,1,0.4,81.9,0,2,2.1,95.4,0.2,20.6,13.8,2.919,30.8
148,200331_2,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,3,2Objects_NOR_2,0,0,0,,0,0,0,0,4,3,1,0.5,3,0,1.6,0,12,100.2,4.436,0,0.041,66.3,42.5,70,57.2,2,3.6,0.298,0.3,0.081,3.7,0,0,1,0.8,27.3,0,0,0,,0,,,4.734,57.2
149,200331_1,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,3,2Objects_NOR,0,0,0,,0,0,0,0,3,1.4,1,80.8,1.4,0,0.7,0,13,97.1,2.334,0.7,0.023,25.3,78.4,33,78.1,2,4.9,0.634,0,0.082,7.7,0,0,1,0.9,80,0,1,0.2,0,0,15.4,8.6,2.968,78.1
150,200331_3,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,3,2Objects_NOR,7,11.3,0.933884298,31.1,4.9,6.4,2.8,3.7,2,0.8,0.066115703,6.7,0.8,0,0,0,15,87.3,1.819,0.9,0.022,33.8,48,34.8,32.1,9,9.4,0.099,0,0.098,1,0,0,1,0.2,,0,3,1.6,0,0,25.6,24.4,1.918,32.1
151,200331_4,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,3,2Objects_NOR_2,2,2.8,0.965517241,10.6,2.8,0,1.6,0,1,0.1,0.034482759,119.6,0.1,0,0.1,0,9,100.6,2.78,1,0.024,37.8,75.8,39.4,77.6,3,1.3,0.659,0,0.42,1.6,0,0,0,0,117.4,0,2,0.5,0,0,,,3.439,77.6
152,200331_5,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,3,2Objects_NOR,4,11.6,0.707317073,0.7,6.7,4.9,2.6,0,3,4.8,0.292682927,86.2,4.8,0,2,0,11,74.6,2.185,3.1,0.024,38.5,52.7,49.5,37.8,11,16.1,0.719,0,0.054,11,2.5,0,3,3.6,1.8,0,3,1.6,0,0,29.2,26.3,2.904,37.8
153,200331_6,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,3,2Objects_NOR_2,0,0,0,,0,0,0,0,3,1.7,1,8.9,1.7,0,0.8,0,4,113.6,3.43,1.5,0.03,50.2,62.6,55.8,99.4,2,4,0.967,0,0.173,5.6,0,0,0,0,,0,0,0,0,0,,,4.397,99.4
154,200331_7,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,3,2Objects_NOR,1,1.9,0.95,7.6,1.9,0,1,0,1,0.1,0.05,117.5,0.1,0,0,0,10,107,2.473,2.8,0.023,22.4,86.8,26.7,89.6,3,3.3,0.955,0.4,0.223,4.3,0,0,0,0,,0,2,0.9,116.3,0,12.2,12.8,3.428,89.6
155,200331_8,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,3,2Objects_NOR_2,1,0.4,0.114285714,108.8,0.4,0,0,0,2,3.1,0.885714286,24.6,3.1,0,2.6,0,8,112.2,2.72,1.3,0.025,47.2,61.5,49.8,76.5,4,2.8,0.475,0,0.185,2.6,0,0,0,0,107.4,0,0,0,,0,,,3.195,76.5
156,200331_9,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,3,2Objects_NOR,0,0,,,0,0,0,0,0,0,,,0,0,0,0,7,112.5,3.896,1.3,0.034,36.4,77.9,38.4,63,3,2.2,0.069,0,0.035,2,0,0,1,1.1,60.5,0,0,0,,0,4,4.7,3.965,63
157,200331_10,APOE22F,F,APOE2/2,A,Day2_IdenticalObject,old,3,2Objects_NOR_2,1,0.5,1,0.1,0.5,0,0,0,0,0,0,,0,0,0,0,3,118.4,0.167,1.7,0.001,2.4,115.9,3.4,115.9,1,0.8,0.084,0,0.082,1,0,0,0,0,,0,0,0,,0,,,0.251,115.9
158,200331_11,APOE22M,M,APOE2/2,B,Day2_IdenticalObject,old,3,2Objects_NOR,2,3.3,0.733333333,46.6,3.3,0,0.9,0,2,1.2,0.266666667,4.8,1.2,0,0.2,0,8,103,2.896,0,0.029,17.3,84.1,24.8,77.7,5,6.8,1.654,2.9,0.22,7.5,0,0,1,0.3,6,0,1,0.2,45.7,0,3.4,3.4,4.55,77.7
159,200331_12,APOE22M,M,APOE2/2,B,Day2_IdenticalObject,old,3,2Objects_NOR_2,2,3.6,0.782608696,80.2,1.6,2,2.8,0,1,1,0.217391304,108.2,1,0,0.4,0,8,107.1,3.421,0,0.033,32.4,72.3,39.6,54.4,3,10.3,0.577,15.3,0.048,7.2,4.8,0,0,0,,0,1,0.9,14.6,0,,,3.998,54.4
161,200331_13,APOE22M,M,APOE2/2,B,Day2_IdenticalObject,old,3,2Objects_NOR,7,2.5,0.337837838,1.9,2.3,0.2,0.2,0,3,4.9,0.662162162,6.2,1.2,3.8,0.2,2.7,11,89.7,2.442,1.3,0.029,40.4,44.3,42.4,27.8,3,2.1,0.338,0,0.166,2,0,0,2,1.6,5.6,0,3,1.3,0,0,18.5,8.7,2.78,27.8
169,200331_1,APOE22F,F,APOE2/2,A,Day2_ShortTermMemory,old,4,2Objects_NOR,0,0,0,,0,0,0,0,1,1,1,55.2,1,0,1,0,11,96.3,2.433,2.3,0.027,13.7,74.8,26.1,66.5,7,9.3,1.299,0,0.105,12.4,0,0,1,1,35.7,0,2,1.2,0,0.1,4.6,4.7,3.732,66.5
170,200331_2,APOE22F,F,APOE2/2,A,Day2_ShortTermMemory,old,4,2Objects_NOR_2,0,0,,,0,0,0,0,0,0,,,0,0,0,0,9,109.5,4.098,1.9,0.038,37.6,71.2,41.3,63.4,3,2.9,0.721,0,0.195,3.7,0,0,1,0.6,0.6,0,1,0.7,57.1,0,,,4.819,63.4
171,200331_3,APOE22F,F,APOE2/2,A,Day2_ShortTermMemory,old,4,2Objects_NOR,3,1.8,0.243243243,68.8,1.8,0,0.9,0,3,5.6,0.756756757,109.9,0.9,4.7,2.8,2.8,13,81.8,1.89,0.3,0.025,29,47.2,33.1,35.2,2,4.2,0.329,76.3,0.081,4.1,0,0,1,0.1,,0,1,0.5,117.4,0,22.3,12.7,2.219,35.2
172,200331_4,APOE22F,F,APOE2/2,A,Day2_ShortTermMemory,old,4,2Objects_NOR_2,2,2.4,0.269662921,20.8,2.4,0,0.9,0,6,6.5,0.730337079,21.1,6.5,0,4,0,11,73.4,3.264,0,0.042,50.8,27.6,72.5,50.6,10,23.4,1.661,20.8,0.063,21.7,4.7,3.1,3,4,21.1,0,5,3.6,51.6,0.4,,,4.925,53.7
173,200331_5,APOE22F,F,APOE2/2,A,Day2_ShortTermMemory,old,4,2Objects_NOR,7,9.8,0.771653543,74.4,7.1,2.8,3.6,0,4,2.9,0.228346457,0,0.6,2.3,2.8,0,16,83.6,2.56,1.9,0.029,47.4,41.2,49,30.5,7,6.1,0.158,0,0.092,1.6,0.1,0,2,1.3,73.3,0,0,0,,0,18.8,13.7,2.718,30.5
174,200331_6,APOE22F,F,APOE2/2,A,Day2_ShortTermMemory,old,4,2Objects_NOR_2,0,0,0,,0,0,0,0,2,1.6,1,12.7,1.6,0,0,0,6,108.6,2.763,1.9,0.025,52.7,58.6,60,88.8,3,6,1.006,0,0.137,7.3,0,0,0,0,,0,1,0.7,0,0,,,3.769,88.8
175,200331_8,APOE22F,F,APOE2/2,A,Day2_ShortTermMemory,old,4,2Objects_NOR_2,4,25.6,0.833876222,20.9,4.3,21.3,2.5,16.8,3,5.1,0.166123779,0.2,2.3,2.9,3,0,6,75.9,3.761,3.8,0.051,28.3,46,39.2,41.5,7,13.2,0.893,0,0.065,10.9,2.9,0,1,1,88.1,0,1,0.6,80.5,0,,,4.654,41.5
176,200331_7,APOE22F,F,APOE2/2,A,Day2_ShortTermMemory,old,4,2Objects_NOR,3,3.7,0.445783133,34.7,1.7,2.1,0.6,0,4,4.6,0.554216868,14.7,2.6,1.9,2.6,0,9,92.9,2.499,2,0.03,31.4,52.1,47.5,33.2,8,16.6,0.878,0,0.053,16.1,0.5,1,3,2.7,34.2,0,1,0.7,0,0.1,7.2,10.5,3.377,34.2
177,200331_10,APOE22F,F,APOE2/2,A,Day2_ShortTermMemory,old,4,2Objects_NOR_2,6,16.4,0.571428571,88.3,3.9,12.4,4.7,1.4,7,12.3,0.428571429,0.9,4.1,8.2,3.2,4.4,7,43.1,1.349,4.9,0.036,15.8,21.8,30.6,25.1,9,45.9,0.904,0,0.024,14.8,23.2,11.4,2,17.3,,0,5,4.1,3.6,0,,,2.253,36.5
