Test,Animal,Treatment,Sex,APOE,Code,Stage,Trial,Apparatus,Object1 : head entries,Object1.headtime,Object1_Day2_3_5: RI,Object1 : latency to first entry,Object1 : time mobile,Object1 : time immobile,Object1 : in zone oriented to centre,Object1 : time freezing,Object2 : head entries,Object2.headtime,Object2_Day2_3_5.RI,Object2 : latency to first entry,Object2 : time mobile,Object2 : time immobile,Object2 : in zone oriented to centre,Object2 : time freezing,Outerzone : head entries,Outerzone.headtime,Outerzone.distance,Outerzone : latency to first entry,Outerzone : average speed,Outerzone : time mobile,Outerzone : time immobile,Total_Time_Mobile,Outerzone.time.freezing,Centerzone : head entries,Centerzone.headtime,Centerzone.distance,Centerzone : latency to first entry,Centerzone : average speed,Centerzone : time mobile,Centerzone : time immobile,Centerzone.time.freezing,Object 3 : head entries,Object 3.headtime,Object 3 : latency to first entry,Object 3 : in zone oriented to centre,Object 4 : head entries,Object4.headtime,Object 4 : latency to first entry,Object 4 : in zone oriented to centre,Object1Center : head time oriented towards,Object2Center : head time oriented towards,Total.Distance,Total.Time.Freezing
41,191028_3,APOE2/2F,F,APOE2/2,A,Day2_IdenticalObject,3,2Objects_NOR,2,3.8,0.395833333,97.3,3.8,0,1.5,0,4,5.8,0.604166667,71.5,2.8,3,2.7,1.6,18,90.7,1.539,0.8,0.018,41.6,45,44.6,34.5,5,6.5,0.247,0,0.082,3,0,0,2,0.4,0,0,3,0.7,80.8,0,8.1,12.6,1.786,34.5
42,191028_4,APOE2/2F,F,APOE2/2,A,Day2_IdenticalObject,3,2Objects_NOR_2,8,7.4,0.318965517,15.9,3.5,3.9,1.1,0,6,15.8,0.681034483,0,15.8,0,2,0,24,58.9,1.61,1.5,0.021,34.1,40.9,51.3,27.4,9,24.5,1.48,0,0.086,17.2,0,0,2,0.9,0.6,0.1,1,0.3,106.5,0,,,3.09,27.4
43,191028_5,APOE2/2F,F,APOE2/2,A,Day2_IdenticalObject,3,2Objects_NOR,9,13.2,0.47311828,7,13.2,0,2.5,0,6,14.7,0.52688172,24.6,10,4.7,4.3,0,13,59.2,2.346,0.6,0.04,32.3,25.8,56.7,18.1,11,30.1,0.947,0,0.03,24.4,6.7,2.9,2,0.6,83.2,0,1,0.4,73.9,0,14.2,9.7,3.293,21
44,191028_6,APOE2/2M,M,APOE2/2,B,Day2_IdenticalObject,3,2Objects_NOR_2,0,0,0,,0,0,0,0,1,1.5,1,100.2,1.5,0,0.6,0,9,110.7,2.429,0,0.022,38.5,72.1,43,63.7,4,4.9,0.472,67.9,0.105,4.5,0,0,1,0.4,67.9,0,1,0.6,73.3,0,,,2.901,63.7
45,191028_7,APOE2/2M,M,APOE2/2,B,Day2_IdenticalObject,3,2Objects_NOR,3,3,0.545454546,3.2,2.4,0.7,1.7,0,3,2.5,0.454545455,6.3,2.5,0,1,0,18,56.1,1.113,0,0.017,21.2,43.8,22.2,30.1,4,2.1,0.231,4.5,0.228,1,0,0,1,0.4,70.8,0,1,0.5,4.6,0,17.5,42.1,1.344,30.1
46,191028_3,APOE2/2F,F,APOE2/2,A,Day2_ShortTermMemory,4,2Objects_NOR,3,2.4,0.296296296,41.6,2.4,0,0.9,0,4,5.7,0.703703704,28.3,5.7,0,3.9,0,11,101.2,2.691,0.6,0.028,33.4,64.3,38.6,53.4,5,6.4,0.374,0,0.072,5.2,0,0,2,0.7,27.7,0,1,0.6,41,0,8.5,7.9,3.065,53.4
47,191028_4,APOE2/2F,F,APOE2/2,A,Day2_ShortTermMemory,4,2Objects_NOR_2,7,5,0.423728814,0,5,0,1.4,0,7,6.8,0.576271186,5.5,5.9,0.9,2.8,0.1,16,58.2,1.953,1.1,0.025,24.4,54.6,41.4,36.5,11,12.8,0.876,0,0.052,17,0,0,3,2.7,0.7,0,3,1.6,14.9,0,,,2.829,36.5
48,191028_5,APOE2/2F,F,APOE2/2,A,Day2_ShortTermMemory,4,2Objects_NOR,3,7.1,0.577235772,10.1,1.7,5.4,3.5,2.7,2,5.2,0.422764228,22.2,2.8,2.4,3.9,0,18,76.8,2.964,0.3,0.031,43.4,53.5,47,44.7,7,12.2,0.339,21.8,0.057,3.6,2.4,0,2,4.1,112.5,0,3,1.7,11.8,0,38.7,33.6,3.303,44.7
49,191028_6,APOE2/2M,M,APOE2/2,B,Day2_ShortTermMemory,4,2Objects_NOR_2,2,3,0.315789474,61,3,0,2,0,2,6.5,0.684210526,11.4,3.9,2.6,2.6,0,10,93.1,1.883,0,0.019,26,74.7,28.4,56.2,7,6.5,0.493,60.1,0.208,2.4,0,0,4,1.6,60,0.1,0,0,,0,,,2.376,56.2
50,191028_7,APOE2/2M,M,APOE2/2,B,Day2_ShortTermMemory,4,2Objects_NOR,0,0,0,,0,0,0,0,3,4.4,1,13.8,4.1,0.3,3.1,0,16,94.3,1.98,0,0.02,30,71.2,31.6,35.1,3,1.8,0.071,14,0.044,1.6,0,0,0,0,,0,1,0.5,57.7,0,14,16.7,2.051,35.1
